N_e,N_b,M_e,M_b,K,p,c,t,rf,theta_e,theta_b,precision_e,precision_b,CF_BL,BL
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.15,1000,10,-1.1548320037994245e-18,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.35,1000,10,-4.9683864162305173e-17,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.6,100,10,-1.4012078600930813e-07,-326.3439200099433
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.15,1000,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.44999999999999996,10,10,0.23905188872343672,-355.6395283519928
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.49999999999999994,100,10,-6.640680793810534e-08,-338.6421184376952
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.65,1000,10,-1.1084937504114715e-14,-324.41137246825565
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.2,100,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.25,1000,1000,-3.519301831297433e-68,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.39999999999999997,100,10,-6.640680793810534e-08,-394.5759032013443
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.25,10,10,0.23559835277715893,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.44999999999999996,1000,10,-3.1107246927773024e-16,-355.6330749437237
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.65,10,10,0.23674164926064664,-324.4178258765248
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.5499999999999999,1000,10,-1.887018729358815e-15,-330.397980513324
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.35,10,10,0.2380790198712246,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.15,10,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.25,10,1000,3.495662943089898e-05,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.15,10,10,0.23310778060367784,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.5499999999999999,10,10,0.2384713372310441,-330.4044339215931
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.3,100,10,-3.108292535401534e-08,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.65,100,1000,-0.4000000000000066,-323.00000000041695
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.6,1000,1000,-0.3999999999997759,-323.0000000006437
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.7,10,1000,-0.12964072383372513,-323.0064534090323
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.9,1000,1000,-0.3999999999997759,-323.00000000059185
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.5499999999999999,100,1000,-0.4000000000000066,-323.0000000004645
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.6,10,1000,-0.12964072383330702,-323.0064534089128
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.95,10,10,0.22708416836293002,-323.00678288389156
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.49999999999999994,1000,1000,-0.3999999999997759,-323.00000000043065
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.95,10,100,-0.1296407238315447,-323.0064534085252
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.95,100,100,-0.4000000000000066,-323.0000000001461
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.49999999999999994,10,1000,-0.1296407238332106,-323.00645340869977
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.95,100,1000,-0.4000000000000066,-323.0000000008083
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.44999999999999996,100,1000,-0.4000000000000066,-323.0000013585503
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.95,100,10,-2.4512349194026537e-06,-323.00032947551244
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.39999999999999997,1000,1000,-0.0989446327242871,-323.0270730118066
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.9,1000,10,-3.465330975213621e-13,-323.0027288173791
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.39999999999999997,10,1000,-0.011871761929431285,-323.0335264200757
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.95,1000,100,-0.3999999999997759,-323.00000000025614
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.6,1000,10,-1.887018729358815e-15,-326.34392001005335
